Date	PD Code	Area Code	AC Code MH	Project Nr	Item Description	Amount
04/03/2025	10S1410	10	1	1838	07 Rawalpindi Hand Tools	2600.00
05/03/2025	60D5040	60D	5	1838	08 Rawalpindi Electric Cable	15970.00
05/03/2025	60B2020	60A-60C	4	1838	09 Rawalpindi Marble	118200.00
05/03/2025	10S1200	10	1	1838	10 Rawalpindi Delivery	5750.00
10/03/2025	60C2032	60A-60C	4	1838	01 Rawalpindi Marble	200000.00
10/03/2025	60C1092	60A-60C	4	1838	02 Rawalpindi Steel Grill	100000.00
07/03/2025	60D5040	60D	5	1838	03 Rawalpindi Electrical Items	15970.00
11/03/2025	60C1090	60A-60C	4	1838	04 Rawalpindi Tile Adhesive	54000.00
07/03/2025	60C1090	60A-60C	4	1838	05 Rawalpindi Tile Bond	102000.00
10/03/2025	60C1092	60A-60C	4	1838	06 Rawalpindi Plumbing Labour	7500.00
10/03/2025	60C1090	60A-60C	4	1838	07 Rawalpindi Timber	2600.00
07/03/2025	10S1440	10	1	1838	08 Rawalpindi Cleaning Items	2330.00
11/03/2025	10S1440	10	1	1838	09 Rawalpindi Generator Fuel	1600.00
10/03/2025	60D6030	60D	5	1838	10 Rawalpindi HDMI Cable	1300.00
10/03/2025	60D5000	60D	5	1838	11 Rawalpindi UPS Battery Charge	2000.00
11/03/2025	60D5000	60D	5	1838	12 Rawalpindi UPS Repair	2500.00
07/03/2025	60D6030	60D	5	1838	16 Rawalpindi Cable	6950.00
12/03/2025	OTH_EXP	Other	8	1838	17 LDC Electricity Bill	13498.00
12/03/2025	OTH_EXP	Other	8	1838	18 LDC Electricity Bill	6407.00
12/03/2025	OTH_EXP	Other	8	1838	19 LDC Water Bill	2643.00
20/03/2025	60D6030	60D	5	1838	04 Rawalpindi AV Items	25000.00
20/03/2025	60D6030	60D	5	1838	05 Rawalpindi AV Items	37000.00
17/03/2025	60D6030	60D	5	1838	06 Rawalpindi Fittings	1560.00
20/03/2025	60C1092	60A-60C	4	1838	07 Rawalpindi Washroom Items	11700.00
20/03/2025	60D2000	60D	5	1838	08 Rawalpindi Water Pipe	780.00
20/03/2025	60D5040	60D	5	1838	09 Rawalpindi Lighting	3400.00
20/03/2025	60D6030	60D	5	1838	11 Rawalpindi Fittings	2800.00
15/03/2025	60B2011	60A-60C	4	1838	12 Rawalpindi Adhesive	500.00
19/03/2025	60C1092	60A-60C	4	1838	13 Rawalpindi Silicone Sealant	200.00
17/03/2025	60D5000	60D	5	1838	14 Rawalpindi Electrical Items	1390.00
19/03/2025	60B2010	60A-60C	4	1838	15 Rawalpindi Cement	500.00
20/03/2025	60B2010	60A-60C	4	1838	16 Rawalpindi Cement	1350.00
18/03/2025	60D5000	60D	5	1838	17 Rawalpindi Electrical Items	110.00
23/03/2025	60D6030	60D	5	1838	20 Rawalpindi Fittings	54000.00
19/03/2025	60B2010	60A-60C	4	1838	21 Rawalpindi Marble	200000.00
24/03/2025	60D6030	60D	5	1837	22 Motra AV	2920.00
05/04/2025	60D6030	60D	5	1838	01 Rawalpindi AV Parts	11200.00
08/04/2025	60D6030	60D	5	1838	02 Rawalpindi Mic Stand Part	500.00
08/04/2025	60D6030	60D	5	1838	03 Rawalpindi HDMI Cable	1500.00
05/04/2025	60D2000	60D	5	1838	04 Rawalpindi Plumbing Part	960.00
09/04/2025	60D6030	60D	5	1882	07 Karachi Korangi TV	280000.00
30/12/2023	60E1060		1273	1 - Sialkot Geezer	6600.00
30/12/2023	20G2020	20	3	1273	2 - Sialkot Plaster	840.00
30/12/2023	60C2032		1273	3 - Sialkot Delivery charge	1200.00
05/01/2024	20G4010	20	3	1273	4 - Sialkot Electrical items	24980.00
30/12/2023	60C2010		1273	5 - Sialkot Paint Items	4650.00
30/12/2023	10S1410	10	1	1273	6 - Sialkot Grinder Blade	1500.00
30/12/2023	20G4010	20	3	1273	7 - Sialkot Socket	660.00
06/01/2024	60B1020		1273	8 - Sialkot Blank plates	1000.00
06/01/2024	60D6030		1273	9 - Sialkot Cable	430.00
06/01/2024	60C2010		1273	10 - Sialkot Contractor	4300.00
06/01/2024	60E2070		1273	11 - Sialkot Chairs	355000.00
08/01/2024	60C2011		1273	17 - Sialkot Labour	6100.00
08/01/2024	60B2011		1273	18 - Sialkot Labour Advance	5000.00
09/01/2024	60C1030		1273	1- Sialkot Steal Grill Advance	50000.00
10/01/2024	60C2010		1273	2- Sialkot Contractor	6100.00
10/01/2024	60C2010		1273	3- Sialkot Paint	3190.00
10/01/2024	60C2010		1273	4-Sialkot Trim	500.00
10/01/2024	60C2010		1273	5-Sialkot Trim	1950.00
10/01/2024	60D6030		1273	6-Sialkot Amplifier	26500.00
09/01/2024	60C2011		1273	7-Sialkot Labour	4300.00
09/01/2024	60C2011		1273	8-Sialkot Labour	10500.00
09/01/2024	60E2070		1273	9-Sialkot Chairs	14500.00
09/01/2024	60E2070		1273	10-Sialkot Chair Delivery	800.00
09/01/2024	60B1011		1273	11-Sialkot Carpenter	10000.00
09/01/2024	60C2010		1273	12-Sialkot Paint	5020.00
09/01/2024	60D5040		1273	13-Sialkot Lights	36750.00
09/01/2024	60C2010		1273	14-Sialkot Contractor	6100.00
09/01/2024	60C2010		1273	15-Sialkot Labour Carpenter	45000.00
10/01/2024	60C2011		1273	16-Sialkot Labour	40000.00
11/01/2024	60C2011		1273	17-Sialkot Labour	6100.00
11/01/2024	60B2011		1273	18-Sialkot Labour	20000.00
10/01/2024	60C2010		1273	19-Sialkot Paint	1350.00
09/01/2024	60D6030		1273	20-Sialkot Cable	6600.00
09/01/2024	60C2032		1273	21-Sialkot Entrance Matt	3200.00
09/01/2024	60C2010		1273	22-Sialkot Contractor	43500.00
09/01/2024	60C2010		1273	23-Sialkot Paint	3400.00
09/01/2024	60D6030		1273	34-Sialkot CCTV	66350.00
09/01/2024	60C1030		1273	35- Sialkot / Rawlapindi - DT approved urgent works	50000.00
12/01/2024	60C2011		1273	36- Sialkot Labour	12200.00
19/01/2024	60D6030		1273	4 - Sialkot  TVs	380000.00
17/01/2024	60C2010		1273	5 - Sialkot Contractor	8900.00
12/01/2024	60C2010		1273	6 - Sialkot Contractor	8000.00
17/01/2024	60D5040		1273	7 - Sialkot Light switches	160.00
17/01/2024	60C1092		1273	8 - Sialkot Plumbing	400.00
18/01/2024	60C2010		1273	9 - Sialkot Contractor	15700.00
19/01/2024	60D6030		1273	10 - Sialkot Hdmi	6200.00
19/01/2024	60D6030		1273	11 - Sialkot Cable	2400.00
16/01/2024	60D6030		1273	12 - Sialkot Cables	4460.00
12/01/2024	60D6030		1273	13 - Sialkot Cable	760.00
12/01/2024	60D6030		1273	14 - Sialkot UPS	52000.00
12/01/2024	60D6030		1273	15 - Sialkot Battery UPS	74000.00
30/01/2024	60D3000		1273	1 -Sialkot AC Invertors x6	1356000.00
04/02/2024	10S1240	10	1	1646	13 Hyderabad - Closing of Property, transfer chairs to Sukkur	16000.00
04/02/2024	10S1240	10	1	1646	14 Hyderabad - Closing of Property, transfer chairs to Sukkur	17400.00
04/02/2024	60D6030		1243	15 Lahore, Youhanabad - Amplifier	55000.00
03/02/2023	01P1010		1562	16 Karachi, Korangi - Plumbing Parts	24760.00
06/02/2024	01P1020		1562	17 Karachi, Korangi - HVAC Move	3500.00
06/02/2024	30C2010		1562	18 Karachi, Korangi - Paint Sealer	16070.00
16/02/2024	30C2010		1562	19 Karachi, Korangi - Labour	27000.00
10/02/2024	30C2010		1562	20 Karachi, Korangi - Labour	50000.00
10/02/2024	20G1010	20	3	1455	21 Islamabad - Labour	18600.00
03/02/2024	20G1010	20	3	1455	22 Islamabad - Labour	12400.00
03/02/2024	10S1340	10	1	1455	23 Islamabad - Security	18000.00
